nohup: ignoring input
time=2025-09-14T18:45:49.180-06:00 level=INFO source=routes.go:1331 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:4096 OLLAMA_DEBUG:INFO OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:9999 OLLAMA_INTEL_GPU:false OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:1 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/scratch/alpine/niho8409/ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NEW_ESTIMATES:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_SCHED_SPREAD:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2025-09-14T18:45:49.207-06:00 level=INFO source=images.go:477 msg="total blobs: 9"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=images.go:484 msg="total unused blobs removed: 0"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=routes.go:1384 msg="Listening on [::]:9999 (version 0.11.10)"
time=2025-09-14T18:45:49.208-06:00 level=INFO source=gpu.go:217 msg="looking for compatible GPUs"
time=2025-09-14T18:45:49.659-06:00 level=INFO source=types.go:131 msg="inference compute" id=GPU-019a1c87-a4aa-f269-7894-7d129858442b library=cuda variant=v12 compute=8.0 driver=12.4 name="NVIDIA A100-PCIE-40GB" total="39.4 GiB" available="39.0 GiB"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.480235ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.308424ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     1.49825ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.476197ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     646.282µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     801.353µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      831.79µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     772.568µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     658.074µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     945.823µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     803.016µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     601.287µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     625.552µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     776.756µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     718.917µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     643.646µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     807.434µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     641.162µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     601.949µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     918.703µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     597.951µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     621.696µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |         752µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      699.07µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      762.63µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     668.403µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     654.628µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     667.141µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     600.216µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     829.565µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     634.079µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     642.865µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     772.138µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     664.056µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     646.713µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     826.028µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     668.774µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     657.122µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     817.604µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     716.223µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |    1.241718ms |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     815.068µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     628.959µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |       682.8µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |      965.17µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     624.651µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     758.362µs |    10.225.8.163 | POST     "/api/chat"
[GIN] 2025/09/14 - 18:52:42 | 404 |     668.524µs |    10.225.8.163 | POST     "/api/chat"
